Header	Length	%A(3)	%T(3)	%G(3)	%C(3)	%GC(all)	%GC(1)	%GC(2)	%GC(3)	COUSIN_18	COUSIN_59	CAI_59	CAI_18	ENC	SCUO	FOP	CBI	ICDI	Scaled_Chi	GRAVY	AROMA	eucl_dist_vs_ref (a.a)	eucl_dist_vs_H0 (a.a)
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds	954	6.289	4.088	54.717	34.906	69.916	77.358	42.767	89.623	2.321	2.457	0.86	0.876	32.303	0.39	0.678	0.529	0.539	0.384	-0.596	0.05	0.141	0.193
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds_0	954	24.528	15.723	36.792	22.956	58.491	73.27	42.453	59.748	0.785	0.707	0.728	0.809	50.957	0.083	0.442	0.183	0.158	0.354	-0.596	0.05	0.141	0.193
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds_1	954	22.956	15.094	38.994	22.956	58.491	71.069	42.453	61.95	0.61	0.727	0.724	0.804	51.139	0.069	0.422	0.154	0.292	0.36	-0.596	0.05	0.141	0.193
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds_2	954	19.497	14.78	43.082	22.642	59.958	71.384	42.767	65.723	1.377	1.046	0.728	0.818	50.163	0.108	0.422	0.154	0.266	0.357	-0.596	0.05	0.141	0.193
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds_3	954	18.239	14.151	44.34	23.27	60.901	72.327	42.767	67.61	1.665	1.611	0.764	0.824	45.476	0.126	0.512	0.286	0.34	0.36	-0.596	0.05	0.141	0.193
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds_4	954	22.642	17.925	39.623	19.811	57.862	71.698	42.453	59.434	0.856	0.859	0.742	0.792	52.648	0.085	0.422	0.154	0.181	0.354	-0.596	0.05	0.141	0.193
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds_5	954	24.528	15.723	37.736	22.013	57.233	69.497	42.453	59.748	1.208	1.036	0.708	0.796	53.337	0.058	0.445	0.188	0.18	0.35	-0.596	0.05	0.141	0.193
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds_6	954	24.214	13.836	41.824	20.126	58.281	70.126	42.767	61.95	1.092	0.99	0.727	0.795	51.622	0.074	0.415	0.145	0.3	0.36	-0.596	0.05	0.141	0.193
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds_7	954	22.956	12.264	40.252	24.528	58.91	69.182	42.767	64.78	1.422	1.308	0.77	0.831	48.263	0.119	0.502	0.271	0.226	0.354	-0.596	0.05	0.141	0.193
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds_8	954	29.245	14.78	36.164	19.811	56.499	70.755	42.767	55.975	0.897	0.911	0.702	0.773	52.233	0.083	0.439	0.179	0.22	0.354	-0.596	0.05	0.141	0.193
FJ525876_1_2815-2857,3950-4142,4723-5440 Homo sapiens apolipoprotein E (APOE) gene, complete cds_9	954	23.27	11.95	41.509	23.27	59.644	71.384	42.767	64.78	1.296	1.292	0.744	0.804	49.665	0.112	0.475	0.232	0.246	0.36	-0.596	0.05	0.141	0.193
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds	1182	15.736	21.827	29.188	33.249	56.768	59.137	48.731	62.437	1.712	1.406	0.804	0.832	51.379	0.087	0.464	0.206	0.136	0.408	-0.753	0.061	0.066	0.117
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds_0	1182	18.782	22.335	28.934	29.949	54.907	57.36	48.477	58.883	1.064	0.922	0.782	0.806	55.788	0.081	0.419	0.139	0.102	0.401	-0.753	0.061	0.066	0.117
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds_1	1182	19.289	25.635	27.157	27.919	54.23	58.883	48.731	55.076	0.512	0.73	0.781	0.802	56.307	0.075	0.403	0.116	0.071	0.398	-0.753	0.061	0.066	0.117
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds_2	1182	20.051	23.858	27.411	28.68	54.484	58.629	48.731	56.091	1.133	0.993	0.779	0.809	56.34	0.068	0.416	0.136	0.075	0.401	-0.753	0.061	0.066	0.117
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds_3	1182	19.036	24.112	26.396	30.457	54.399	57.614	48.731	56.853	1.543	1.183	0.773	0.8	55.527	0.081	0.43	0.155	0.111	0.398	-0.753	0.061	0.066	0.117
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds_4	1182	21.066	22.081	28.426	28.426	54.569	58.122	48.731	56.853	1.26	1.129	0.769	0.797	54.688	0.075	0.414	0.132	0.092	0.401	-0.753	0.061	0.066	0.117
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds_5	1182	20.812	23.858	28.68	26.65	53.553	56.853	48.477	55.33	0.061	0.38	0.771	0.8	57.17	0.065	0.403	0.116	0.109	0.403	-0.753	0.061	0.066	0.117
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds_6	1182	17.766	21.574	29.949	30.711	55.668	57.614	48.731	60.66	1.137	1.209	0.804	0.829	47.555	0.124	0.472	0.218	0.177	0.403	-0.753	0.061	0.066	0.117
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds_7	1182	17.766	22.335	29.442	30.457	54.992	56.599	48.477	59.898	0.782	1.142	0.805	0.811	51.047	0.119	0.443	0.175	0.122	0.401	-0.753	0.061	0.066	0.117
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds_8	1182	18.274	22.335	27.157	32.234	55.245	57.868	48.477	59.391	0.913	1.091	0.786	0.808	54.015	0.088	0.446	0.179	0.1	0.401	-0.753	0.061	0.066	0.117
MG595979_1 Homo sapiens isolate TWH-1414-0-1 mutant tumor protein p53 (TP53) mRNA, complete cds_9	1182	21.32	25.635	27.411	25.635	53.638	59.391	48.477	53.046	-0.16	0.254	0.785	0.801	55.112	0.07	0.401	0.112	0.067	0.401	-0.753	0.061	0.066	0.117
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds	702	9.402	11.966	32.479	46.154	61.254	61.538	43.59	78.632	2.399	2.221	0.833	0.873	41.24	0.231	0.59	0.402	0.343	0.299	-0.047	0.082	0.051	0.131
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds_0	702	20.513	22.65	24.786	32.051	53.704	61.111	43.162	56.838	0.699	0.602	0.724	0.783	58.763	0.076	0.432	0.172	0.136	0.273	-0.047	0.082	0.051	0.131
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds_1	702	16.239	23.077	29.06	31.624	54.131	58.547	43.162	60.684	0.908	1.058	0.76	0.815	50.642	0.092	0.463	0.217	0.191	0.29	-0.047	0.082	0.051	0.131
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds_2	702	23.077	19.231	27.778	29.915	53.419	58.974	43.59	57.692	0.726	0.747	0.751	0.809	51.097	0.098	0.428	0.166	0.246	0.299	-0.047	0.082	0.051	0.131
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds_3	702	16.239	28.632	28.205	26.923	52.279	58.547	43.162	55.128	0.645	0.816	0.736	0.797	57.439	0.097	0.389	0.109	0.139	0.282	-0.047	0.082	0.051	0.131
